Clustering Method,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Rand index,Adjusted Rand Index,Mutual Information,Adjusted Mutual Information,Normalized Mutual Information,Fowlkes-Mallows Index,Homogeneity,Completeness ,V-measure
K-Means,0.344950209,0.917808184,614.6979758,0.88943609,0.412448945,1.451455335,0.621950608,0.640347621,0.474525372,0.634407417,0.646400118,0.640347621
Agglomerative,0.329558654,0.947900657,587.6805016,0.895488722,0.439636388,1.455049973,0.622340201,0.640649922,0.49815812,0.635978575,0.6453904,0.640649922
BIRCH,0.321544151,0.956734519,542.4604249,0.891428571,0.443489242,1.46796329,0.635680831,0.653727075,0.505633906,0.641622774,0.666296855,0.653727075
Mini-Batch KMeans,0.34254762,0.906849165,575.5091295,0.904699248,0.487784081,1.52067059,0.651979296,0.668808589,0.541143105,0.664660274,0.67300901,0.668808589
Spectral,0.306492806,0.899151101,481.6825496,0.867481203,0.366770806,1.342150309,0.589376559,0.610365937,0.445010474,0.586631975,0.63610133,0.610365937
Gaussian Mixture,0.335323623,0.938059418,582.275792,0.887969925,0.419387086,1.498538589,0.648504767,0.665844361,0.48300169,0.654986738,0.677068023,0.665844361
