Cluster,Capacity,Distance,Number of Vehicles,Objective,Total Distance of Route,Total Load of Route
1,120,60000,1,,,
1,120,60000,2,,,
1,120,60000,3,18107.0,135318.0,12.0
1,120,60000,4,18107.0,135318.0,12.0
1,120,60000,5,18107.0,135318.0,12.0
1,120,60000,6,18107.0,135318.0,12.0
1,120,60000,7,18107.0,135318.0,12.0
1,120,60000,8,18107.0,135318.0,12.0
1,70,100000,1,,,
1,70,100000,2,,,
1,70,100000,3,18107.0,135318.0,12.0
1,70,100000,4,18107.0,135318.0,12.0
1,70,100000,5,18107.0,135318.0,12.0
1,70,100000,6,18107.0,135318.0,12.0
1,70,100000,7,18107.0,135318.0,12.0
1,70,100000,8,18107.0,135318.0,12.0
